BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	biomaterial_provider_s	cell_line_s	isolate_s	sex_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	age_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN04254552	SRX1426160	Sample A	2015-11-10	8842	2936	SRR2912443	SRS1158388	MAQC A	Agilent	<not provided>	Agilent Universal Human Reference RNA	pooled male and female	Pooled tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254552	SRX1426160	Sample A	2015-11-10	8254	2665	SRR2912444	SRS1158388	MAQC A	Agilent	<not provided>	Agilent Universal Human Reference RNA	pooled male and female	Pooled tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254552	SRX1426160	Sample A	2015-11-11	9491	3233	SRR2912446	SRS1158388	MAQC A	Agilent	<not provided>	Agilent Universal Human Reference RNA	pooled male and female	Pooled tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254553	SRX1426193	Sample B	2015-11-10	12655	4271	SRR2912479	SRS1158423	MAQC B	Life Technology	Human Brain Reference Total RNA	Human Brain Reference Total RNA	not determined	Brain	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254553	SRX1426193	Sample B	2015-11-17	7387	2402	SRR2912481	SRS1158423	MAQC B	Life Technology	Human Brain Reference Total RNA	Human Brain Reference Total RNA	not determined	Brain	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254553	SRX1426193	Sample B	2015-11-10	7650	2629	SRR2912483	SRS1158423	MAQC B	Life Technology	Human Brain Reference Total RNA	Human Brain Reference Total RNA	not determined	Brain	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254554	SRX1426194	Sample C	2015-11-10	9002	2985	SRR2912487	SRS1158424	MAQC C	Agilent and Life Technology	<not provided>	Universal Human Reference RNA with Human Brain Reference Total RNA	not determined	Pooled Tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254554	SRX1426194	Sample C	2015-11-17	6949	2244	SRR2912489	SRS1158424	MAQC C	Agilent and Life Technology	<not provided>	Universal Human Reference RNA with Human Brain Reference Total RNA	not determined	Pooled Tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254554	SRX1426194	Sample C	2015-11-10	11244	3797	SRR2912490	SRS1158424	MAQC C	Agilent and Life Technology	<not provided>	Universal Human Reference RNA with Human Brain Reference Total RNA	not determined	Pooled Tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
SAMN04254556	SRX1426197	Sample D	2015-11-10	10032	3354	SRR2912491	SRS1158425	MAQC D	Agilent and Life Technology	<not provided>	Universal Human Reference RNA with Human Brain Reference Total RNA	not determined	Pooled Tumor	RNA-Seq	<not provided>	PRJNA301711	Human	THE UNIVERSITY OF TEXAS AT AUSTIN	public	0	PAIRED	other	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2016-01-29	SRP066009	NA	<not provided>	<not provided>	<not provided>
